Taxon,Raunkiaer,Esler,Regeneration,Shade,MaxHeight,Spines,Vegetative,Vegetative2,LeafForm,LeafLength,LeafWidth,LeafLongevity,Origin,Native,Woody,Type,LeafArea
Coprosma arborea,Phanerophyte,"Woody species, Medium trees (6-10m)",Canopy gap,Moderate,10,No,None,None,Broad leaved,20,14,Evergreen,NZ,Native,Woody,Tree,219.9114858
Coprosma areolata,Phanerophyte,"Woody species, Small trees (3-6m)",Canopy gap,Moderate,5,No,None,None,Broad leaved,15,8,Evergreen,NZ,Native,Woody,Tree,94.24777961
Coprosma dumosa,Phanerophyte,"Woody species, Small trees (3-6m)",Canopy gap,Moderate,5,No,None,None,Broad leaved,10,5,Evergreen,NZ,Native,Woody,Tree,39.26990817
Coprosma grandifolia,Phanerophyte,"Woody species, Small trees (3-6m)",Canopy gap,Moderate,6,No,None,None,Broad leaved,180,70,Evergreen,NZ,Native,Woody,Tree,9896.016859
Coprosma propinqua,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)",Community disturbance,Low,6,No,None,None,Broad leaved,12,3,Evergreen,NZ,Native,Woody,Tree,28.27433388
Coprosma rhamnoides,Phanerophyte,"Woody species, Spreading to erect small shrubs",Canopy gap,Moderate,2,No,None,None,Broad leaved,10,9,Evergreen,NZ,Native,Woody,Shrub,70.68583471
Coprosma rigida,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)",Canopy gap,High,5,No,None,None,Broad leaved,15,6,Evergreen,NZ,Native,Woody,Shrub,70.68583471
Coprosma robusta,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)",Community disturbance,High,6,No,None,None,Broad leaved,110,35,Evergreen,NZ,Native,Woody,Shrub,3023.782929
Coprosma rotundifolia,Phanerophyte,"Woody species, Small trees (3-6m)",Canopy gap,Moderate,5,No,None,None,Broad leaved,25,17,Evergreen,NZ,Native,Woody,Tree,333.7942194
Coprosma spathulata,Phanerophyte,"Woody species, Spreading to erect small shrubs",Canopy gap,Moderate,3,No,None,None,Broad leaved,35,15,Evergreen,NZ,Native,Woody,Shrub,412.3340358
Coriaria arborea,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)",Community disturbance,Low,7,No,None,None,Broad leaved,70,45,Evergreen,NZ,Native,Woody,Shrub,2474.004215
Cordyline australis,Phanerophyte,"Woody species, Large trees (> 10m)",Canopy gap,Moderate,14,No,Root suckers,Stem fragments,Grass leaved - Flat,650,45,Evergreen,NZ,Native,Woody,Tree,22972.89628
Corynocarpus laevigatus,Phanerophyte,"Woody species, Large trees (> 10m)",Canopy gap,Moderate,15,No,None,None,Broad leaved,150,80,Evergreen,NZ,Native,Woody,Tree,9424.777961
Cyathea dealbata,Phanerophyte,Ferns,Canopy gap,Moderate,10,No,None,None,Broad leaved,4000,850,Evergreen,NZ,Native,Woody,Fern,2670353.756
Cyathea smithii,Phanerophyte,Ferns,Canopy gap,High,8,No,None,None,Broad leaved,2500,500,Evergreen,NZ,Native,Woody,Fern,981747.7042
Dacrycarpus dacrydioides,Phanerophyte,"Woody species, Large trees (> 10m)",Canopy gap,Moderate,60,No,None,None,Broad leaved,5,1,Evergreen,NZ,Native,Woody,Tree,3.926990817
Dactylis glomerata,Hemicryptophyte,"Herbaceous perennials, Graminiform-grasslike sedge",Community disturbance,Moderate,1.2,No,Rhizomes-corms,None,Grass leaved - Flat,350,5,Evergreen,Europe,Exotic,Herbaceous,Grass,1374.446786
Discaria toumatou,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)",Community disturbance,Low,6,Yes,None,None,Broad leaved,15,4,Evergreen,NZ,Native,Woody,Tree,47.1238898
Dodonaea viscosa,Phanerophyte,"Woody species, Small trees (3-6m)",Community disturbance,Low,10,No,None,None,Broad leaved,100,30,Evergreen,NZ,Native,Woody,Tree,2356.19449
Elaeocarpus hookerianus,Phanerophyte,"Woody species, Large trees (> 10m)",Death of individual,Moderate,12,No,None,None,Broad leaved,70,20,Evergreen,NZ,Native,Woody,Tree,1099.557429
Fuchsia excorticata,Phanerophyte,"Woody species, Medium trees (6-10m)",Canopy gap,Moderate,12,No,None,None,Broad leaved,100,30,Semi-evergreen,NZ,Native,Woody,Tree,2356.19449
