PlotID,PlotNo,FarmName,Long,Lat,VegClass,Date,DD,MM,YYYY
KAI TOP 4,TOP 4,KAI,174.464414,-36.392166,F_N_Rem_Contin,29/06/2018,29,6,2018
KAI TOP 5,TOP 5,KAI,174.46481,-36.391395,F_N_Rem_Contin,1/07/2018,1,7,2018
KAI TOP 6,TOP 6,KAI,174.464303,-36.390634,F_N_Rem_Contin,2/07/2018,2,7,2018
KAI TOP 7,TOP 7,KAI,174.46316,-36.392866,F_N_Rem_Contin,2/07/2018,2,7,2018
KAI TOP 8,TOP 8,KAI,174.463567,-36.392277,F_N_Rem_Contin,2/07/2018,2,7,2018
KAI TOP 9,TOP 9,KAI,174.463892,-36.391491,F_N_Rem_Contin,2/07/2018,2,7,2018
TMN P102,P102,TMN,175.3368669,-38.7963922,F_N_Reg_Diff,NA,NA,NA,NA
TMN P124,P124,TMN,175.3484575,-38.7945312,F_N_Reg_Sparse,NA,NA,NA,NA
TMN P133,P133,TMN,175.3275449,-38.7929744,F_N_Reg_Diff,NA,NA,NA,NA
TMN P137,P137,TMN,175.3367492,-38.7927906,F_N_Reg_Sparse,NA,NA,NA,NA
TMN P151,P151,TMN,175.3251853,-38.7912194,F_N_Reg_Sparse,NA,NA,NA,NA
TMN P152,P152,TMN,175.3274863,-38.7911735,F_N_Rem_Contin,unknown,NA,NA,NA
TMN P153,P153,TMN,175.3297873,-38.7911276,F_N_Rem_Contin,NA,NA,NA,NA
TMN P162,P162,TMN,175.3504964,-38.7907127,F_N_Reg_Sparse,unknown,NA,NA,NA
TMN P177,P177,TMN,175.3364719,-38.7887318,F_N_Reg_Contin,NA,NA,NA,NA
TMN P180,P180,TMN,175.3435344,-38.7890506,F_N_Reg_Contin,unknown,NA,NA,NA
TMN P184,P184,TMN,175.3527381,-38.7888656,F_N_Reg_Sparse,unknown,NA,NA,NA
TMN P199,P199,TMN,175.3388736,-38.787342,F_N_Reg_Sparse,NA,NA,NA,NA
TMN P202,P202,TMN,175.3457763,-38.7872036,F_N_Reg_Sparse,unknown,NA,NA,NA
TMN P213,P213,TMN,175.3250097,-38.7858168,F_N_Reg_Sparse,NA,NA,NA,NA
TMN P214,P214,TMN,175.3273105,-38.785771,F_N_Reg_Diff,NA,NA,NA,NA
